ClientAccountID,AccountAlias,Model,CurrencyPrimary,AssetClass,Symbol,Description,Conid,SecurityID,SecurityIDType,CUSIP,ISIN,ListingExchange,UnderlyingConid,UnderlyingSymbol,UnderlyingSecurityID,UnderlyingListingExchange,Issuer,Multiplier,Strike,Expiry,Put/Call,PrincipalAdjustFactor,TransactionType,TradeID,OrderID,ExecID,BrokerageOrderID,OrderReference,VolatilityOrderLink,ClearingFirmID,OrigTradePrice,OrigTradeDate,OrigTradeID,OrderTime,Date/Time,ReportDate,SettleDate,TradeDate,Exchange,Buy/Sell,Quantity,Price,Amount,Proceeds,Commission,BrokerExecutionCommission,BrokerClearingCommission,ThirdPartyExecutionCommission,ThirdPartyClearingCommission,ThirdPartyRegulatoryCommission,OtherCommission,CommissionCurrency,Tax,Code,OrderType,LevelOfDetail,TraderID,IsAPIOrder,AllocatedTo,AccruedInterest
DU1439783,,,USD,FUT,ZB   SEP 19,ZB 19SEP19,346233386,,,,,,11078381,ZB,,,,1000,,20190919,,,ExchTrade,221146162,171323357,0000e1a7.5d49faa6.01.01,0041e7dd.0000ff2f.5d490979.0001,,,,0,,,20190806;184100,20190806;184132,20190807,20190808,20190807,ECBOT,BUY,2,161.65625,323312.5,-323312.5,-3.34,-1.7,0,-1.6,0,-0.04,0,USD,0,O,LMT,EXECUTION,,Y,,0
DU1439783,,,USD,FUT,ZB   SEP 19,ZB 19SEP19,346233386,,,,,,11078381,ZB,,,,1000,,20190919,,,ExchTrade,221147720,171324180,0000e1a7.5d4a0147.01.01,0041e7dd.0000ff2f.5d490983.0001,,,,0,,,20190806;195333,20190806;195333,20190807,20190808,20190807,ECBOT,BUY,2,162,324000,-324000,-3.34,-1.7,0,-1.6,0,-0.04,0,USD,0,O,LMT,EXECUTION,,Y,,0
DU1439783,,,USD,FUT,ZB   SEP 19,ZB 19SEP19,346233386,,,,,,11078381,ZB,,,,1000,,20190919,,,ExchTrade,221149568,171325181,0000e1a7.5d4a0893.01.01,0041e7dd.0000ff2f.5d49098f.0001,,,,0,,,20190806;203215,20190806;203215,20190807,20190808,20190807,ECBOT,BUY,2,162.3125,324625,-324625,-3.34,-1.7,0,-1.6,0,-0.04,0,USD,0,O,LMT,EXECUTION,,Y,,0
DU1439783,,,USD,FUT,ZB   SEP 19,ZB 19SEP19,346233386,,,,,,11078381,ZB,,,,1000,,20190919,,,ExchTrade,221153833,171328140,0000e1a7.5d4a1633.01.01,0041e7dd.0000ff2f.5d4909a8.0001,,,,0,,,20190806;220933,20190806;220933,20190807,20190808,20190807,ECBOT,BUY,3,162.21875,486656.25,-486656.25,-5.01,-2.55,0,-2.4,0,-0.06,0,USD,0,C;P,LMT,EXECUTION,,Y,,0
DU1439783,,,USD,FUT,ZB   SEP 19,ZB 19SEP19,346233386,,,,,,11078381,ZB,,,,1000,,20190919,,,ExchTrade,221153835,171328140,0000e1a7.5d4a1632.01.01,0041e7dd.0000ff2f.5d4909a8.0001,,,,0,,,20190806;220933,20190806;220933,20190807,20190808,20190807,ECBOT,BUY,3,162.21875,486656.25,-486656.25,-5.01,-2.55,0,-2.4,0,-0.06,0,USD,0,C;P,LMT,EXECUTION,,Y,,0
DU1439783,,,USD,FUT,ZB   SEP 19,ZB 19SEP19,346233386,,,,,,11078381,ZB,,,,1000,,20190919,,,ExchTrade,221155156,171329017,0000e1a7.5d4a19d9.01.01,0041e7dd.0000ff2f.5d4909b3.0001,,,,0,,,20190806;224350,20190806;224350,20190807,20190808,20190807,ECBOT,BUY,4,162.28125,649125,-649125,-6.68,-3.4,0,-3.2,0,-0.08,0,USD,0,C,LMT,EXECUTION,,Y,,0
DU1439783,,,USD,FUT,ZB   SEP 19,ZB 19SEP19,346233386,,,,,,11078381,ZB,,,,1000,,20190919,,,ExchTrade,221156455,171329799,0000e1a7.5d4a1df5.01.01,0041e7dd.0000ff2f.5d4909bc.0001,,,,0,,,20190806;231811,20190806;231827,20190807,20190808,20190807,ECBOT,BUY,2,162.53125,325062.5,-325062.5,-3.34,-1.7,0,-1.6,0,-0.04,0,USD,0,O,LMT,EXECUTION,,Y,,0
DU1439783,,,USD,FUT,ZB   SEP 19,ZB 19SEP19,346233386,,,,,,11078381,ZB,,,,1000,,20190919,,,ExchTrade,221188353,171353768,0000e1a7.5d4a74ab.01.01,0041e7dd.0000ff2f.5d4a577e.0001,,,,0,,,20190807;094721,20190807;094721,20190807,20190808,20190807,ECBOT,BUY,2,163.90625,327812.5,-327812.5,-3.34,-1.7,0,-1.6,0,-0.04,0,USD,0,O,LMT,EXECUTION,,Y,,0
DU1439783,,,USD,FUT,ZB   SEP 19,ZB 19SEP19,346233386,,,,,,11078381,ZB,,,,1000,,20190919,,,ExchTrade,221188759,171354078,0000e1a7.5d4a761b.01.01,0041e7dd.0000ff2f.5d4a5790.0001,,,,0,,,20190807;094930,20190807;094930,20190807,20190808,20190807,ECBOT,BUY,2,163.65625,327312.5,-327312.5,-3.34,-1.7,0,-1.6,0,-0.04,0,USD,0,O,LMT,EXECUTION,,Y,,0
DU1439783,,,USD,FUT,ZB   SEP 19,ZB 19SEP19,346233386,,,,,,11078381,ZB,,,,1000,,20190919,,,ExchTrade,221277330,171410691,0000e1a7.5d4bac7a.01.01,0041e7dd.0000ff2f.5d4ba4f2.0001,,,,0,,,20190808;033752,20190808;033804,20190808,20190809,20190808,ECBOT,BUY,6,161.25,967500,-967500,-10.02,-5.1,0,-4.8,0,-0.12,0,USD,0,C,LMT,EXECUTION,,Y,,0
DU1439783,,,USD,FUT,ZB   SEP 19,ZB 19SEP19,346233386,,,,,,11078381,ZB,,,,1000,,20190919,,,ExchTrade,221277976,171411249,0000e1a7.5d4badd6.01.01,0041e7dd.0000ff2f.5d4ba4fa.0001,,,,0,,,20190808;035136,20190808;035136,20190808,20190809,20190808,ECBOT,BUY,1,161.375,161375,-161375,-1.67,-0.85,0,-0.8,0,-0.02,0,USD,0,C,LMT,EXECUTION,,Y,,0
DU1439783,,,USD,FUT,ZB   SEP 19,ZB 19SEP19,346233386,,,,,,11078381,ZB,,,,1000,,20190919,,,ExchTrade,221278581,171411693,0000e1a7.5d4bae87.01.01,0041e7dd.0000ff2f.5d4ba4ff.0001,,,,0,,,20190808;040401,20190808;040402,20190808,20190809,20190808,ECBOT,BUY,2,161.40625,322812.5,-322812.5,-3.34,-1.7,0,-1.6,0,-0.04,0,USD,0,C,LMT,EXECUTION,,Y,,0
DU1439783,,,USD,FUT,ZB   SEP 19,ZB 19SEP19,346233386,,,,,,11078381,ZB,,,,1000,,20190919,,,ExchTrade,221279502,171412433,0000e1a7.5d4bb070.01.01,0041e7dd.0000ff2f.5d4ba503.0001,,,,0,,,20190808;041637,20190808;041637,20190808,20190809,20190808,ECBOT,BUY,2,161.46875,322937.5,-322937.5,-3.34,-1.7,0,-1.6,0,-0.04,0,USD,0,O,LMT,EXECUTION,,Y,,0
DU1439783,,,USD,FUT,ZB   SEP 19,ZB 19SEP19,346233386,,,,,,11078381,ZB,,,,1000,,20190919,,,ExchTrade,221293348,171423674,0000e1a7.5d4bd830.01.01,0041e7dd.0000ff2f.5d4ba644.0001,,,,0,,,20190808;093101,20190808;093103,20190808,20190809,20190808,ECBOT,BUY,2,160.65625,321312.5,-321312.5,-3.34,-1.7,0,-1.6,0,-0.04,0,USD,0,C,LMT,EXECUTION,,Y,,0
DU1439783,,,USD,FUT,ZB   SEP 19,ZB 19SEP19,346233386,,,,,,11078381,ZB,,,,1000,,20190919,,,ExchTrade,221296420,171426245,0000e1a7.5d4be392.01.01,0041e7dd.0000ff2f.5d4ba69e.0001,,,,0,,,20190808;094646,20190808;094743,20190808,20190809,20190808,ECBOT,BUY,2,160.4375,320875,-320875,-3.34,-1.7,0,-1.6,0,-0.04,0,USD,0,C;P,LMT,EXECUTION,,Y,,0
DU1439783,,,USD,FUT,ZB   SEP 19,ZB 19SEP19,346233386,,,,,,11078381,ZB,,,,1000,,20190919,,,ExchTrade,221296422,171426245,0000e1a7.5d4be391.01.01,0041e7dd.0000ff2f.5d4ba69e.0001,,,,0,,,20190808;094646,20190808;094743,20190808,20190809,20190808,ECBOT,BUY,4,160.4375,641750,-641750,-6.68,-3.4,0,-3.2,0,-0.08,0,USD,0,C;P,LMT,EXECUTION,,Y,,0
DU1439783,,,USD,FUT,ZB   SEP 19,ZB 19SEP19,346233386,,,,,,11078381,ZB,,,,1000,,20190919,,,ExchTrade,221298336,171427925,0000e1a7.5d4beab0.01.01,0041e7dd.0000ff2f.5d4ba6e5.0001,,,,0,,,20190808;095425,20190808;095428,20190808,20190809,20190808,ECBOT,BUY,1,160.5,160500,-160500,-1.67,-0.85,0,-0.8,0,-0.02,0,USD,0,O,LMT,EXECUTION,,Y,,0
DU1439783,,,USD,FUT,ZB   SEP 19,ZB 19SEP19,346233386,,,,,,11078381,ZB,,,,1000,,20190919,,,ExchTrade,221300176,171429375,0000e1a7.5d4bf193.01.01,0041e7dd.0000ff2f.5d4ba73d.0001,,,,0,,,20190808;100527,20190808;100527,20190808,20190809,20190808,ECBOT,BUY,6,160.46875,962812.5,-962812.5,-10.02,-5.1,0,-4.8,0,-0.12,0,USD,0,C,LMT,EXECUTION,,Y,,0
DU1439783,,,USD,FUT,ZB   SEP 19,ZB 19SEP19,346233386,,,,,,11078381,ZB,,,,1000,,20190919,,,ExchTrade,221300815,171429774,0000e1a7.5d4bf441.01.01,0041e7dd.0000ff2f.5d4ba763.0001,,,,0,,,20190808;100953,20190808;101016,20190808,20190809,20190808,ECBOT,BUY,6,160.3125,961875,-961875,-10.02,-5.1,0,-4.8,0,-0.12,0,USD,0,C,LMT,EXECUTION,,Y,,0
DU1439783,,,USD,FUT,ZB   SEP 19,ZB 19SEP19,346233386,,,,,,11078381,ZB,,,,1000,,20190919,,,ExchTrade,221303255,171431711,0000e1a7.5d4bfd65.01.01,0041e7dd.0000ff2f.5d4ba7d9.0001,,,,0,,,20190808;103059,20190808;103105,20190808,20190809,20190808,ECBOT,BUY,6,160.5,963000,-963000,-10.02,-5.1,0,-4.8,0,-0.12,0,USD,0,C,LMT,EXECUTION,,Y,,0
DU1439783,,,USD,FUT,ZB   SEP 19,ZB 19SEP19,346233386,,,,,,11078381,ZB,,,,1000,,20190919,,,ExchTrade,221304191,171432493,0000e1a7.5d4c00e8.01.01,0041e7dd.0000ff2f.5d4ba805.0001,,,,0,,,20190808;103647,20190808;103647,20190808,20190809,20190808,ECBOT,BUY,1,160.625,160625,-160625,-1.67,-0.85,0,-0.8,0,-0.02,0,USD,0,C,LMT,EXECUTION,,Y,,0
DU1439783,,,USD,FUT,ZB   SEP 19,ZB 19SEP19,346233386,,,,,,11078381,ZB,,,,1000,,20190919,,,ExchTrade,221304378,171432663,0000e1a7.5d4c01a7.01.01,0041e7dd.0000ff2f.5d4ba815.0001,,,,0,,,20190808;103815,20190808;103818,20190808,20190809,20190808,ECBOT,BUY,2,160.59375,321187.5,-321187.5,-3.34,-1.7,0,-1.6,0,-0.04,0,USD,0,C,LMT,EXECUTION,,Y,,0
DU1439783,,,USD,FUT,ZB   SEP 19,ZB 19SEP19,346233386,,,,,,11078381,ZB,,,,1000,,20190919,,,ExchTrade,221304974,171433164,0000e1a7.5d4c03cc.01.01,0041e7dd.0000ff2f.5d4ba830.0001,,,,0,,,20190808;104041,20190808;104044,20190808,20190809,20190808,ECBOT,BUY,2,160.53125,321062.5,-321062.5,-3.34,-1.7,0,-1.6,0,-0.04,0,USD,0,C,LMT,EXECUTION,,Y,,0
DU1439783,,,USD,FUT,ZB   SEP 19,ZB 19SEP19,346233386,,,,,,11078381,ZB,,,,1000,,20190919,,,ExchTrade,221305797,171433877,0000e1a7.5d4c06b5.01.01,0041e7dd.0000ff2f.5d4ba852.0001,,,,0,,,20190808;104657,20190808;104657,20190808,20190809,20190808,ECBOT,BUY,1,160.65625,160656.25,-160656.25,-1.67,-0.85,0,-0.8,0,-0.02,0,USD,0,C,LMT,EXECUTION,,Y,,0
DU1439783,,,USD,FUT,ZB   SEP 19,ZB 19SEP19,346233386,,,,,,11078381,ZB,,,,1000,,20190919,,,ExchTrade,221305914,171433977,0000e1a7.5d4c0715.01.01,0041e7dd.0000ff2f.5d4ba855.0001,,,,0,,,20190808;104657,20190808;104748,20190808,20190809,20190808,ECBOT,BUY,3,160.6875,482062.5,-482062.5,-5.01,-2.55,0,-2.4,0,-0.06,0,USD,0,C,LMT,EXECUTION,,Y,,0
DU1439783,,,USD,FUT,ZB   SEP 19,ZB 19SEP19,346233386,,,,,,11078381,ZB,,,,1000,,20190919,,,ExchTrade,221307060,171434912,0000e1a7.5d4c0ba2.01.01,0041e7dd.0000ff2f.5d4ba88f.0001,,,,0,,,20190808;105724,20190808;105724,20190808,20190809,20190808,ECBOT,BUY,1,160.65625,160656.25,-160656.25,-1.67,-0.85,0,-0.8,0,-0.02,0,USD,0,C,LMT,EXECUTION,,Y,,0
DU1439783,,,USD,FUT,ZB   SEP 19,ZB 19SEP19,346233386,,,,,,11078381,ZB,,,,1000,,20190919,,,ExchTrade,221308683,171435988,0000e1a7.5d4c11ce.01.01,0041e7dd.0000ff2f.5d4ba8cd.0001,,,,0,,,20190808;111023,20190808;111023,20190808,20190809,20190808,ECBOT,BUY,2,160.8125,321625,-321625,-3.34,-1.7,0,-1.6,0,-0.04,0,USD,0,O,LMT,EXECUTION,,Y,,0
DU1439783,,,USD,FUT,ZB   SEP 19,ZB 19SEP19,346233386,,,,,,11078381,ZB,,,,1000,,20190919,,,ExchTrade,221311292,171438094,0000e1a7.5d4c1b25.01.01,0041e7dd.0000ff2f.5d4ba938.0001,,,,0,,,20190808;113108,20190808;113146,20190808,20190809,20190808,ECBOT,BUY,1,160.625,160625,-160625,-1.67,-0.85,0,-0.8,0,-0.02,0,USD,0,O,LMT,EXECUTION,,Y,,0
DU1439783,,,USD,FUT,ZB   SEP 19,ZB 19SEP19,346233386,,,,,,11078381,ZB,,,,1000,,20190919,,,ExchTrade,221316766,171443014,0000e1a7.5d4c2dee.01.01,0041e7dd.0000ff2f.5d4ba9b2.0001,,,,0,,,20190808;120823,20190808;120823,20190808,20190809,20190808,ECBOT,BUY,1,160.46875,160468.75,-160468.75,-1.67,-0.85,0,-0.8,0,-0.02,0,USD,0,O,LMT,EXECUTION,,Y,,0
DU1439783,,,USD,FUT,ZB   SEP 19,ZB 19SEP19,346233386,,,,,,11078381,ZB,,,,1000,,20190919,,,ExchTrade,221317103,171443300,0000e1a7.5d4c2ee8.01.01,0041e7dd.0000ff2f.5d4ba9bd.0001,,,,0,,,20190808;121226,20190808;121226,20190808,20190809,20190808,ECBOT,BUY,1,160.4375,160437.5,-160437.5,-1.67,-0.85,0,-0.8,0,-0.02,0,USD,0,O,LMT,EXECUTION,,Y,,0
